Coefficient_of_variation	Method	group
42.7	24min 2Th	24min
5.4	24min 2Th	24min
5.1	24min 2Th	24min
46.5	24min 2Th	24min
18.9	24min 2Th	24min
104.4	24min 2Th	24min
31.1	24min 2Th	24min
28.8	24min 2Th	24min
0	24min 2Th	24min
10.3	24min 2Th	24min
8.9	24min 2Th	24min
25.5	24min 2Th	24min
2.4	24min 2Th	24min
4.6	24min 2Th	24min
20.9	24min 2Th	24min
8.8	24min 2Th	24min
6.3	24min 2Th	24min
10.1	24min 2Th	24min
16.5	24min 2Th	24min
28.8	24min 2Th	24min
6.8	24min 2Th	24min
36	24min 2Th	24min
26.2	24min 2Th	24min
16.6	24min 2Th	24min
10	24min 2Th	24min
28.7	24min 2Th	24min
20.1	24min 2Th	24min
14.6	24min 2Th	24min
12.8	24min 2Th	24min
62.2	24min 2Th	24min
24.6	24min 2Th	24min
34.8	24min 2Th	24min
24.6	24min 2Th	24min
22.5	24min 2Th	24min
14.5	24min 2Th	24min
48	24min 2Th	24min
7.7	24min 2Th	24min
7.1	24min 2Th	24min
6.4	24min 2Th	24min
4.3	24min 2Th	24min
21.1	24min 2Th	24min
22.4	24min 2Th	24min
8.8	24min 2Th	24min
10.8	24min 2Th	24min
16.3	24min 2Th	24min
3.5	24min 2Th	24min
30.7	24min 2Th	24min
12.2	24min 2Th	24min
7.2	24min 2Th	24min
15.3	24min 2Th	24min
28.7	24min 2Th	24min
9.8	24min 2Th	24min
3.6	24min 2Th	24min
46.1	24min 2Th	24min
19.4	24min 2Th	24min
33.6	24min 2Th	24min
17	24min 2Th	24min
18.5	24min 2Th	24min
4	24min 2Th	24min
8.3	24min 2Th	24min
23.6	24min 2Th	24min
35.9	24min 2Th	24min
28.5	24min 2Th	24min
28.2	24min 2Th	24min
11.2	24min 2Th	24min
17.9	24min 2Th	24min
2	24min 2Th	24min
4.9	24min 2Th	24min
32.7	24min 2Th	24min
19.8	24min 2Th	24min
7.8	24min 2Th	24min
5.4	24min 2Th	24min
21.8	24min 2Th	24min
40.9	24min 2Th	24min
14.2	24min 2Th	24min
29	24min 2Th	24min
62.8	24min 2Th	24min
14.1	24min 2Th	24min
7.4	24min 2Th	24min
4	24min 2Th	24min
25.2	24min 2Th	24min
5.1	24min 2Th	24min
40.2	24min 2Th	24min
57	24min 2Th	24min
26	24min 2Th	24min
39.8	24min 2Th	24min
33.8	24min 2Th	24min
38.6	24min 2Th	24min
3.7	24min 2Th	24min
18.8	24min 2Th	24min
9.4	24min 2Th	24min
38.4	24min 2Th	24min
12.9	24min 2Th	24min
5.7	24min 2Th	24min
22.1	24min 2Th	24min
26.5	24min 2Th	24min
12.2	24min 2Th	24min
0	24min 2Th	24min
22.3	24min 2Th	24min
22.2	24min 2Th	24min
12.8	24min 2Th	24min
55.9	24min 2Th	24min
34.1	24min 2Th	24min
8.3	24min 2Th	24min
28.2	24min 2Th	24min
24.1	24min 2Th	24min
31.8	24min 2Th	24min
35	24min 2Th	24min
2.2	24min 2Th	24min
35.8	24min 2Th	24min
10.7	24min 2Th	24min
3.6	24min 2Th	24min
19.6	24min 2Th	24min
7.6	24min 2Th	24min
5.6	24min 2Th	24min
5.3	24min 2Th	24min
31.5	24min 2Th	24min
4.8	24min 2Th	24min
22.5	24min 2Th	24min
8.4	24min 2Th	24min
24.1	24min 2Th	24min
11.8	24min 2Th	24min
2.6	24min 2Th	24min
6.9	24min 2Th	24min
2.8	24min 2Th	24min
2.5	24min 2Th	24min
5.1	24min 2Th	24min
10.3	24min 2Th	24min
18.5	24min 2Th	24min
6	24min 2Th	24min
5.2	24min 2Th	24min
22.2	24min 2Th	24min
2.7	24min 2Th	24min
20.2	24min 2Th	24min
12.9	24min 2Th	24min
10.6	24min 2Th	24min
16.7	24min 2Th	24min
7.4	24min 2Th	24min
5.8	24min 2Th	24min
7	24min 2Th	24min
15.3	24min 2Th	24min
4.8	24min 2Th	24min
18.5	24min 2Th	24min
22.2	24min 2Th	24min
3.3	24min 2Th	24min
4.2	24min 2Th	24min
4.5	24min 2Th	24min
4	24min 2Th	24min
9.5	24min 2Th	24min
8.1	24min 2Th	24min
16.1	24min 2Th	24min
6.6	24min 2Th	24min
5.6	24min 2Th	24min
5.1	24min 2Th	24min
10.1	24min 2Th	24min
27	24min 2Th	24min
5.5	24min 2Th	24min
13.1	24min 2Th	24min
10.3	24min 2Th	24min
15.7	24min 2Th	24min
3.1	24min 2Th	24min
1.8	24min 2Th	24min
17.4	24min 2Th	24min
35.8	24min 2Th	24min
8.2	24min 2Th	24min
14.5	24min 2Th	24min
31.9	24min 2Th	24min
3.3	24min 2Th	24min
17.1	24min 2Th	24min
21.6	24min 2Th	24min
18.8	24min 2Th	24min
9.6	24min 2Th	24min
12.5	24min 2Th	24min
33.5	24min 2Th	24min
25.3	24min 2Th	24min
3.8	24min 2Th	24min
17.5	24min 2Th	24min
11.9	24min 2Th	24min
8.4	24min 2Th	24min
3.9	24min 2Th	24min
10.1	24min 2Th	24min
25.3	24min 2Th	24min
2.1	24min 2Th	24min
48.3	24min 2Th	24min
11.6	24min 2Th	24min
41.1	24min 2Th	24min
4.7	24min 2Th	24min
6.7	24min 2Th	24min
9.3	24min 2Th	24min
10	24min 2Th	24min
9.1	24min 2Th	24min
16	24min 2Th	24min
11.8	24min 2Th	24min
10.4	24min 2Th	24min
12.1	24min 2Th	24min
26	24min 2Th	24min
13.3	24min 2Th	24min
7.7	24min 2Th	24min
37.8	24min 2Th	24min
20.4	24min 2Th	24min
4.7	24min 2Th	24min
59.7	24min 2Th	24min
16.6	24min 2Th	24min
58.2	24min 2Th	24min
24.8	24min 2Th	24min
9	24min 2Th	24min
34.4	24min 2Th	24min
5.9	24min 2Th	24min
3.2	24min 2Th	24min
9.8	24min 2Th	24min
9.7	24min 2Th	24min
9	24min 2Th	24min
7.4	24min 2Th	24min
12.6	24min 2Th	24min
24.6	24min 2Th	24min
15.2	24min 2Th	24min
23.3	24min 2Th	24min
22.6	24min 2Th	24min
17.1	24min 2Th	24min
4.3	24min 2Th	24min
5.4	24min 2Th	24min
24	24min 2Th	24min
5.6	24min 2Th	24min
10.6	24min 2Th	24min
2.8	24min 2Th	24min
2.1	24min 2Th	24min
2.8	24min 2Th	24min
7.2	24min 2Th	24min
9.4	24min 2Th	24min
4.6	24min 2Th	24min
22.9	24min 2Th	24min
13.9	24min 2Th	24min
6.3	24min 2Th	24min
32.8	24min 2Th	24min
21.1	24min 2Th	24min
18.7	24min 2Th	24min
10.2	24min 2Th	24min
7.2	24min 2Th	24min
22.3	24min 2Th	24min
22.1	24min 2Th	24min
8.7	24min 2Th	24min
20.1	24min 2Th	24min
15.8	24min 2Th	24min
13.6	24min 2Th	24min
17.2	24min 2Th	24min
12.4	24min 2Th	24min
53	24min 2Th	24min
4.2	24min 2Th	24min
5.5	24min 2Th	24min
7.5	24min 2Th	24min
11	24min 2Th	24min
12.2	24min 2Th	24min
23.3	24min 2Th	24min
20	24min 2Th	24min
11.1	24min 2Th	24min
27.6	24min 2Th	24min
35.8	24min 2Th	24min
26	24min 2Th	24min
6.5	24min 2Th	24min
18.3	24min 2Th	24min
23.3	24min 2Th	24min
8.8	24min 2Th	24min
8.9	24min 2Th	24min
39	24min 2Th	24min
16.1	24min 2Th	24min
6.3	24min 2Th	24min
29.5	24min 2Th	24min
11.1	24min 2Th	24min
3.5	24min 2Th	24min
17.5	24min 2Th	24min
8.7	24min 2Th	24min
3.7	24min 2Th	24min
10.1	24min 2Th	24min
14	24min 2Th	24min
2.6	24min 2Th	24min
5.9	24min 2Th	24min
25.1	24min 2Th	24min
31.3	24min 2Th	24min
17.4	24min 2Th	24min
10.5	24min 2Th	24min
20	24min 2Th	24min
9.4	24min 2Th	24min
8.1	24min 2Th	24min
26.5	24min 2Th	24min
8.1	24min 2Th	24min
6.7	24min 2Th	24min
6.4	24min 2Th	24min
8.5	24min 2Th	24min
28.6	24min 2Th	24min
16.2	24min 2Th	24min
6.6	24min 2Th	24min
6.5	24min 2Th	24min
52.2	24min 2Th	24min
6.5	24min 2Th	24min
10.7	24min 2Th	24min
5.2	24min 2Th	24min
8.4	24min 2Th	24min
13.1	24min 2Th	24min
76.4	24min 2Th	24min
38.6	24min 2Th	24min
47	24min 2Th	24min
5.5	24min 2Th	24min
31.2	24min 2Th	24min
20.1	24min 2Th	24min
63	24min 2Th	24min
8.3	24min 2Th	24min
15.1	24min 2Th	24min
6.7	24min 2Th	24min
12.5	24min 2Th	24min
4.1	24min 2Th	24min
8.8	24min 2Th	24min
8.8	24min 2Th	24min
4.9	24min 2Th	24min
1.5	24min 2Th	24min
17.9	24min 2Th	24min
12.5	24min 2Th	24min
18.1	24min 2Th	24min
27.5	24min 2Th	24min
15.9	24min 2Th	24min
12.4	24min 2Th	24min
33	24min 2Th	24min
5.8	24min 2Th	24min
3.3	24min 2Th	24min
29.6	24min 2Th	24min
16.4	24min 2Th	24min
12.9	24min 2Th	24min
49.2	24min 2Th	24min
11	24min 2Th	24min
9.1	24min 2Th	24min
11.1	24min 2Th	24min
39.4	24min 2Th	24min
5.4	24min 2Th	24min
5.5	24min 2Th	24min
6.6	24min 2Th	24min
3.8	24min 2Th	24min
23.5	24min 2Th	24min
19.4	24min 2Th	24min
13.4	24min 2Th	24min
14.1	24min 2Th	24min
25.7	24min 2Th	24min
5.4	24min 2Th	24min
7.5	24min 2Th	24min
7.8	24min 2Th	24min
18.8	24min 2Th	24min
52.2	24min 2Th	24min
19.7	24min 2Th	24min
8.6	24min 2Th	24min
7.5	24min 2Th	24min
5.9	24min 2Th	24min
27.1	24min 2Th	24min
11.3	24min 2Th	24min
14.2	24min 2Th	24min
14.2	24min 2Th	24min
7.7	24min 2Th	24min
5.8	24min 2Th	24min
2.9	24min 2Th	24min
13.4	24min 2Th	24min
16	24min 2Th	24min
24	24min 2Th	24min
20.3	24min 2Th	24min
5.7	24min 2Th	24min
12.1	24min 2Th	24min
4.6	24min 2Th	24min
43.4	24min 2Th	24min
8.8	24min 2Th	24min
4.6	24min 2Th	24min
5.8	24min 2Th	24min
14.1	24min 2Th	24min
5.6	24min 2Th	24min
7	24min 2Th	24min
16.8	24min 2Th	24min
51.1	24min 2Th	24min
13.3	24min 2Th	24min
12.5	24min 2Th	24min
6.8	24min 2Th	24min
3.6	24min 2Th	24min
6.5	24min 2Th	24min
6.4	24min 2Th	24min
33	24min 2Th	24min
28.9	24min 2Th	24min
21.9	24min 2Th	24min
21.3	24min 2Th	24min
7.4	24min 2Th	24min
10.5	24min 2Th	24min
19.6	24min 2Th	24min
29.8	24min 2Th	24min
22.9	24min 2Th	24min
13.2	24min 2Th	24min
44	24min 2Th	24min
11.5	24min 2Th	24min
29.3	24min 2Th	24min
39.8	24min 2Th	24min
16.9	24min 2Th	24min
5.3	24min 2Th	24min
28	24min 2Th	24min
3.6	24min 2Th	24min
35.7	24min 2Th	24min
8.2	24min 2Th	24min
27.6	24min 2Th	24min
26.6	24min 2Th	24min
16.1	24min 2Th	24min
10.9	24min 2Th	24min
12.3	24min 2Th	24min
9	24min 2Th	24min
5.1	24min 2Th	24min
14.1	24min 2Th	24min
16	24min 2Th	24min
5.8	24min 2Th	24min
34	24min 2Th	24min
5.5	24min 2Th	24min
10	24min 2Th	24min
54.1	24min 2Th	24min
9.8	24min 2Th	24min
16.1	24min 2Th	24min
35.1	24min 2Th	24min
7.9	24min 2Th	24min
73.5	24min 2Th	24min
1.8	24min 2Th	24min
3.6	24min 2Th	24min
28.1	24min 2Th	24min
16.3	24min 2Th	24min
5.2	24min 2Th	24min
10.2	24min 2Th	24min
16.1	24min 2Th	24min
13.4	24min 2Th	24min
18	24min 2Th	24min
23.7	24min 2Th	24min
12.1	24min 2Th	24min
16.9	24min 2Th	24min
21.9	24min 2Th	24min
5.1	24min 2Th	24min
9.5	24min 2Th	24min
5.6	24min 2Th	24min
5.7	24min 2Th	24min
17.2	24min 2Th	24min
10.3	24min 2Th	24min
23.3	24min 2Th	24min
9.6	24min 2Th	24min
11	24min 2Th	24min
57.3	24min 2Th	24min
13.8	24min 2Th	24min
8.6	24min 2Th	24min
18.9	24min 2Th	24min
23.3	24min 2Th	24min
9.8	24min 2Th	24min
9.6	24min 2Th	24min
8	24min 2Th	24min
7.1	24min 2Th	24min
28.2	24min 2Th	24min
22.9	24min 2Th	24min
4	24min 2Th	24min
27.8	24min 2Th	24min
11.8	24min 2Th	24min
9.3	24min 2Th	24min
9.1	24min 2Th	24min
4.8	24min 2Th	24min
2.8	24min 2Th	24min
4.4	24min 2Th	24min
10.1	24min 2Th	24min
12.9	24min 2Th	24min
3.6	24min 2Th	24min
12.8	24min 2Th	24min
23.6	24min 2Th	24min
7.6	24min 2Th	24min
56.9	24min 2Th	24min
10.2	24min 2Th	24min
0	24min 2Th	24min
13.4	24min 2Th	24min
27	24min 2Th	24min
4.1	24min 2Th	24min
64.7	24min 2Th	24min
16.3	24min 2Th	24min
5.2	24min 2Th	24min
30	24min 2Th	24min
3.2	24min 2Th	24min
12.5	24min 2Th	24min
8.6	24min 2Th	24min
12.8	24min 2Th	24min
5.9	24min 2Th	24min
9.5	24min 2Th	24min
11.4	24min 2Th	24min
13.9	24min 2Th	24min
16.3	24min 2Th	24min
20	24min 2Th	24min
6.5	24min 2Th	24min
15.1	24min 2Th	24min
3.6	24min 2Th	24min
6.8	24min 2Th	24min
24.4	24min 2Th	24min
10.3	24min 2Th	24min
48.6	24min 2Th	24min
18.5	24min 2Th	24min
7	24min 2Th	24min
16.1	24min 2Th	24min
43.2	24min 2Th	24min
22.2	24min 2Th	24min
4.4	24min 2Th	24min
38.7	24min 2Th	24min
4.1	24min 2Th	24min
23.9	24min 2Th	24min
36.9	24min 2Th	24min
8.7	24min 2Th	24min
4.1	24min 2Th	24min
6.1	24min 2Th	24min
9	24min 2Th	24min
4.3	24min 2Th	24min
10.1	24min 2Th	24min
13.8	24min 2Th	24min
43.9	24min 2Th	24min
8.7	24min 2Th	24min
12.5	24min 2Th	24min
10.7	24min 2Th	24min
24.1	24min 2Th	24min
11.8	24min 2Th	24min
56.8	24min 2Th	24min
15.4	24min 2Th	24min
12.8	24min 2Th	24min
10.3	24min 2Th	24min
5.4	24min 2Th	24min
3.3	24min 2Th	24min
15	24min 2Th	24min
19.6	24min 2Th	24min
29.3	24min 2Th	24min
5.7	24min 2Th	24min
47.7	24min 2Th	24min
3.9	24min 2Th	24min
20.1	24min 2Th	24min
13	24min 2Th	24min
10.3	24min 2Th	24min
12.9	24min 2Th	24min
53.1	24min 2Th	24min
44.3	24min 2Th	24min
5.5	24min 2Th	24min
25.7	24min 2Th	24min
4.9	24min 2Th	24min
2.9	24min 2Th	24min
19.6	24min 2Th	24min
14.4	24min 2Th	24min
23.7	24min 2Th	24min
14.5	24min 2Th	24min
58.4	24min 2Th	24min
28.6	24min 2Th	24min
20.3	24min 2Th	24min
9.3	24min 2Th	24min
11.4	24min 2Th	24min
14.1	24min 2Th	24min
2.8	24min 2Th	24min
37.6	24min 2Th	24min
7.2	24min 2Th	24min
12.4	24min 2Th	24min
8.8	24min 2Th	24min
4.6	24min 2Th	24min
3.1	24min 2Th	24min
5.4	24min 2Th	24min
2.4	24min 2Th	24min
15	24min 2Th	24min
5.5	24min 2Th	24min
21.4	24min 2Th	24min
9.4	24min 2Th	24min
12.2	24min 2Th	24min
5.3	24min 2Th	24min
11.2	24min 2Th	24min
5.9	24min 2Th	24min
66	24min 2Th	24min
2.7	24min 2Th	24min
21.3	24min 2Th	24min
17.4	24min 2Th	24min
9.6	24min 2Th	24min
30.8	24min 2Th	24min
23	24min 2Th	24min
17.2	24min 2Th	24min
4.7	24min 2Th	24min
14	24min 2Th	24min
5.1	24min 2Th	24min
31.8	24min 2Th	24min
13.9	24min 2Th	24min
13.3	24min 2Th	24min
12.4	24min 2Th	24min
5	24min 2Th	24min
17.7	24min 2Th	24min
27.2	24min 2Th	24min
33.6	24min 2Th	24min
13.2	24min 2Th	24min
21.3	24min 2Th	24min
73.7	24min 2Th	24min
54.2	24min 2Th	24min
22.7	24min 2Th	24min
25.3	24min 2Th	24min
15.5	24min 2Th	24min
8.3	24min 2Th	24min
1.6	24min 2Th	24min
16	24min 2Th	24min
11.3	24min 2Th	24min
2.6	24min 2Th	24min
4.7	24min 2Th	24min
5	24min 2Th	24min
44.8	24min 2Th	24min
10.9	24min 2Th	24min
23.3	24min 2Th	24min
19.2	24min 2Th	24min
9.1	24min 2Th	24min
5.2	24min 2Th	24min
8	24min 2Th	24min
5.3	24min 2Th	24min
2.7	24min 2Th	24min
11.3	24min 2Th	24min
14	24min 2Th	24min
6.4	24min 2Th	24min
6	24min 2Th	24min
22.3	24min 2Th	24min
2.9	24min 2Th	24min
8.3	24min 2Th	24min
5.4	24min 2Th	24min
3	24min 2Th	24min
19.1	24min 2Th	24min
6.9	24min 2Th	24min
6.8	24min 2Th	24min
25.4	24min 2Th	24min
11	24min 2Th	24min
6	24min 2Th	24min
28.9	24min 2Th	24min
12.6	24min 2Th	24min
52.4	24min 2Th	24min
10.4	24min 2Th	24min
29.2	24min 2Th	24min
17.4	24min 2Th	24min
2.7	24min 2Th	24min
13.4	24min 2Th	24min
6	24min 2Th	24min
7.2	24min 2Th	24min
45.9	24min 2Th	24min
3	24min 2Th	24min
2.9	24min 2Th	24min
3.9	24min 2Th	24min
1.8	24min 2Th	24min
58.9	24min 2Th	24min
5.1	24min 2Th	24min
10.9	24min 2Th	24min
11.9	24min 2Th	24min
3.5	24min 2Th	24min
10.4	24min 2Th	24min
7.6	24min 2Th	24min
12.9	24min 2Th	24min
3.9	24min 2Th	24min
18.9	24min 2Th	24min
73.8	24min 2Th	24min
7	24min 2Th	24min
8.8	24min 2Th	24min
21.6	24min 2Th	24min
34.5	24min 2Th	24min
3	24min 2Th	24min
9.7	24min 2Th	24min
6.9	24min 2Th	24min
7.2	24min 2Th	24min
6.2	24min 2Th	24min
10.6	24min 2Th	24min
25.3	24min 2Th	24min
16.7	24min 2Th	24min
50.2	24min 2Th	24min
8.3	24min 2Th	24min
4.6	24min 2Th	24min
18.8	24min 2Th	24min
7.2	24min 2Th	24min
6.5	24min 2Th	24min
17.3	24min 2Th	24min
6.4	24min 2Th	24min
17.8	24min 2Th	24min
5.9	24min 2Th	24min
3	24min 2Th	24min
5.6	24min 2Th	24min
40.7	24min 2Th	24min
37.3	24min 2Th	24min
25	24min 2Th	24min
30.8	24min 2Th	24min
6.8	24min 2Th	24min
34.8	24min 2Th	24min
6.2	24min 2Th	24min
22.1	24min 2Th	24min
3.5	24min 2Th	24min
7.8	24min 2Th	24min
13.8	24min 2Th	24min
3.8	24min 2Th	24min
8.1	24min 2Th	24min
33.5	24min 2Th	24min
11.8	24min 2Th	24min
7.2	24min 2Th	24min
23	24min 2Th	24min
7.2	24min 2Th	24min
19.7	24min 2Th	24min
49.6	24min 2Th	24min
11.3	24min 2Th	24min
2.8	24min 2Th	24min
8.2	24min 2Th	24min
13.2	24min 2Th	24min
7.4	24min 2Th	24min
4.6	24min 2Th	24min
18.7	24min 2Th	24min
6	24min 2Th	24min
11.1	24min 2Th	24min
26.1	24min 2Th	24min
86.4	24min 2Th	24min
31.8	24min 2Th	24min
45.4	24min 2Th	24min
13.8	24min 2Th	24min
3.4	24min 2Th	24min
5	24min 2Th	24min
45.4	24min 2Th	24min
10.7	24min 2Th	24min
5.7	24min 2Th	24min
5.1	24min 2Th	24min
19.2	24min 2Th	24min
49.5	24min 2Th	24min
16.9	24min 2Th	24min
25.2	24min 2Th	24min
14.3	24min 2Th	24min
