Coefficient_of_variation	Method	group
11.10229584	24min 2Th	24min
41.68635215	24min 2Th	24min
15.91527871	24min 2Th	24min
7.598001992	24min 2Th	24min
22.51726189	24min 2Th	24min
65.17938036	24min 2Th	24min
13.06517745	24min 2Th	24min
5.735611656	24min 2Th	24min
7.651727118	24min 2Th	24min
3.12982306	24min 2Th	24min
19.60974288	24min 2Th	24min
5.551160489	24min 2Th	24min
42.40551123	24min 2Th	24min
8.858077062	24min 2Th	24min
10.06655862	24min 2Th	24min
23.78109131	24min 2Th	24min
23.98590029	24min 2Th	24min
10.47679878	24min 2Th	24min
19.77257443	24min 2Th	24min
36.96557822	24min 2Th	24min
12.11591931	24min 2Th	24min
14.93808961	24min 2Th	24min
18.53411701	24min 2Th	24min
15.87527884	24min 2Th	24min
15.03743321	24min 2Th	24min
11.55355295	24min 2Th	24min
15.73918552	24min 2Th	24min
15.58334276	24min 2Th	24min
8.802191503	24min 2Th	24min
11.33858344	24min 2Th	24min
10.18349436	24min 2Th	24min
40.38563079	24min 2Th	24min
17.62876686	24min 2Th	24min
21.07483906	24min 2Th	24min
25.81950337	24min 2Th	24min
23.30074548	24min 2Th	24min
12.67994003	24min 2Th	24min
24.84703843	24min 2Th	24min
9.64004191	24min 2Th	24min
22.38768703	24min 2Th	24min
3.628879848	24min 2Th	24min
22.75047629	24min 2Th	24min
38.16947342	24min 2Th	24min
64.09270685	24min 2Th	24min
25.42472421	24min 2Th	24min
7.743866419	24min 2Th	24min
23.47931081	24min 2Th	24min
11.81296875	24min 2Th	24min
22.4997775	24min 2Th	24min
34.91550134	24min 2Th	24min
23.33921599	24min 2Th	24min
40.38398888	24min 2Th	24min
46.09243759	24min 2Th	24min
21.57710616	24min 2Th	24min
35.5204813	24min 2Th	24min
7.366361155	24min 2Th	24min
12.71219893	24min 2Th	24min
42.94298613	24min 2Th	24min
19.23495514	24min 2Th	24min
16.18794427	24min 2Th	24min
7.109239093	24min 2Th	24min
15.15141437	24min 2Th	24min
70.92418883	24min 2Th	24min
38.74842055	24min 2Th	24min
9.760539292	24min 2Th	24min
10.61725483	24min 2Th	24min
3.976574442	24min 2Th	24min
29.73113449	24min 2Th	24min
74.05748162	24min 2Th	24min
24.83402549	24min 2Th	24min
18.5572468	24min 2Th	24min
29.41775061	24min 2Th	24min
16.95991744	24min 2Th	24min
36.9285675	24min 2Th	24min
20.2481413	24min 2Th	24min
11.98827121	24min 2Th	24min
13.49832518	24min 2Th	24min
11.67704496	24min 2Th	24min
23.72432015	24min 2Th	24min
31.44099986	24min 2Th	24min
12.72183689	24min 2Th	24min
46.36321658	24min 2Th	24min
20.41634146	24min 2Th	24min
13.26999478	24min 2Th	24min
15.54885209	24min 2Th	24min
31.24116767	24min 2Th	24min
48.79980809	24min 2Th	24min
28.77548639	24min 2Th	24min
14.58390916	24min 2Th	24min
25.80217537	24min 2Th	24min
52.36523135	24min 2Th	24min
8.679188558	24min 2Th	24min
15.92190224	24min 2Th	24min
11.85641276	24min 2Th	24min
22.69192279	24min 2Th	24min
23.25976038	24min 2Th	24min
25.45410727	24min 2Th	24min
39.13671424	24min 2Th	24min
56.90560263	24min 2Th	24min
7.18910586	24min 2Th	24min
68.16632263	24min 2Th	24min
87.6159533	24min 2Th	24min
43.54086596	24min 2Th	24min
5.987413776	24min 2Th	24min
17.78432735	24min 2Th	24min
28.88364654	24min 2Th	24min
4.993719798	24min 2Th	24min
16.59148587	24min 2Th	24min
15.2986555	24min 2Th	24min
13.45208131	24min 2Th	24min
20.18236619	24min 2Th	24min
34.95395752	24min 2Th	24min
26.09013001	24min 2Th	24min
47.21633574	24min 2Th	24min
13.88878344	24min 2Th	24min
7.395945157	24min 2Th	24min
46.34905986	24min 2Th	24min
22.66378302	24min 2Th	24min
19.37925841	24min 2Th	24min
12.84562527	24min 2Th	24min
21.04163592	24min 2Th	24min
39.64927297	24min 2Th	24min
72.19666142	24min 2Th	24min
34.6374426	24min 2Th	24min
26.33105937	24min 2Th	24min
2.045369218	24min 2Th	24min
27.76995924	24min 2Th	24min
23.23328825	24min 2Th	24min
31.8542888	24min 2Th	24min
69.10839786	24min 2Th	24min
28.81184616	24min 2Th	24min
14.22886396	24min 2Th	24min
35.91532077	24min 2Th	24min
13.70538431	24min 2Th	24min
10.66891497	24min 2Th	24min
73.96254196	24min 2Th	24min
5.154492197	24min 2Th	24min
39.77276159	24min 2Th	24min
9.16277626	24min 2Th	24min
26.91674055	24min 2Th	24min
11.75060347	24min 2Th	24min
8.393371264	24min 2Th	24min
7.587664105	24min 2Th	24min
28.63156014	24min 2Th	24min
26.16803415	24min 2Th	24min
10.9125316	24min 2Th	24min
28.694811	24min 2Th	24min
16.88250542	24min 2Th	24min
55.97371385	24min 2Th	24min
11.56296613	24min 2Th	24min
21.23737488	24min 2Th	24min
21.51294763	24min 2Th	24min
12.64323456	24min 2Th	24min
41.3432374	24min 2Th	24min
21.3582781	24min 2Th	24min
7.7794797	24min 2Th	24min
19.30660394	24min 2Th	24min
14.92732726	24min 2Th	24min
72.5489506	24min 2Th	24min
18.39815011	24min 2Th	24min
22.71783346	24min 2Th	24min
6.12902441	24min 2Th	24min
5.934522323	24min 2Th	24min
6.428382062	24min 2Th	24min
11.8221855	24min 2Th	24min
6.622906516	24min 2Th	24min
18.91038082	24min 2Th	24min
11.36526564	24min 2Th	24min
28.93594713	24min 2Th	24min
11.85337604	24min 2Th	24min
5.410852891	24min 2Th	24min
2.500895955	24min 2Th	24min
5.166531636	24min 2Th	24min
6.629765384	24min 2Th	24min
3.612618189	24min 2Th	24min
20.44766437	24min 2Th	24min
14.94754572	24min 2Th	24min
10.63263909	24min 2Th	24min
8.046404032	24min 2Th	24min
17.51045293	24min 2Th	24min
15.19320111	24min 2Th	24min
5.118307042	24min 2Th	24min
4.990917823	24min 2Th	24min
7.685880656	24min 2Th	24min
5.266326031	24min 2Th	24min
12.25909936	24min 2Th	24min
8.81835714	24min 2Th	24min
1.604405951	24min 2Th	24min
4.207639608	24min 2Th	24min
8.16629258	24min 2Th	24min
14.55595087	24min 2Th	24min
8.081771195	24min 2Th	24min
14.4120463	24min 2Th	24min
13.87640486	24min 2Th	24min
30.18060943	24min 2Th	24min
5.32744556	24min 2Th	24min
4.097323303	24min 2Th	24min
18.69948016	24min 2Th	24min
9.0613119	24min 2Th	24min
8.506505382	24min 2Th	24min
42.53345752	24min 2Th	24min
44.27458544	24min 2Th	24min
54.70931084	24min 2Th	24min
19.92110126	24min 2Th	24min
50.79509078	24min 2Th	24min
11.25479081	24min 2Th	24min
11.55070382	24min 2Th	24min
18.73610773	24min 2Th	24min
10.10223272	24min 2Th	24min
47.87208784	24min 2Th	24min
17.5412705	24min 2Th	24min
18.30368452	24min 2Th	24min
19.52994241	24min 2Th	24min
17.96698658	24min 2Th	24min
16.08699678	24min 2Th	24min
11.32958308	24min 2Th	24min
16.354864	24min 2Th	24min
35.98605202	24min 2Th	24min
10.12928774	24min 2Th	24min
4.000965736	24min 2Th	24min
23.30384194	24min 2Th	24min
8.770088468	24min 2Th	24min
64.27428442	24min 2Th	24min
10.14274632	24min 2Th	24min
34.69005724	24min 2Th	24min
13.68799043	24min 2Th	24min
6.728845933	24min 2Th	24min
8.66071597	24min 2Th	24min
9.480722729	24min 2Th	24min
50.64942056	24min 2Th	24min
11.24956375	24min 2Th	24min
4.794350201	24min 2Th	24min
7.446601248	24min 2Th	24min
8.700870246	24min 2Th	24min
14.53337665	24min 2Th	24min
1.718912243	24min 2Th	24min
4.129990129	24min 2Th	24min
11.30806209	24min 2Th	24min
7.782841169	24min 2Th	24min
41.38022864	24min 2Th	24min
18.54434511	24min 2Th	24min
15.19540014	24min 2Th	24min
26.00141303	24min 2Th	24min
6.497514336	24min 2Th	24min
18.51727623	24min 2Th	24min
46.14090004	24min 2Th	24min
34.21430166	24min 2Th	24min
19.379011	24min 2Th	24min
12.23967621	24min 2Th	24min
17.268587	24min 2Th	24min
8.193564456	24min 2Th	24min
5.759789102	24min 2Th	24min
9.611089049	24min 2Th	24min
10.18065925	24min 2Th	24min
18.43039353	24min 2Th	24min
8.30529946	24min 2Th	24min
22.97358154	24min 2Th	24min
30.95469713	24min 2Th	24min
23.80657017	24min 2Th	24min
18.04375792	24min 2Th	24min
4.433894624	24min 2Th	24min
1.78175329	24min 2Th	24min
4.402910901	24min 2Th	24min
12.104663	24min 2Th	24min
5.367206023	24min 2Th	24min
4.027448052	24min 2Th	24min
2.42449752	24min 2Th	24min
16.98523166	24min 2Th	24min
13.72077951	24min 2Th	24min
13.6894092	24min 2Th	24min
8.671465583	24min 2Th	24min
4.418018276	24min 2Th	24min
5.400773355	24min 2Th	24min
8.425184088	24min 2Th	24min
12.36125684	24min 2Th	24min
20.6768985	24min 2Th	24min
4.766451837	24min 2Th	24min
7.381359218	24min 2Th	24min
16.37890647	24min 2Th	24min
4.764790486	24min 2Th	24min
35.22556853	24min 2Th	24min
4.827835283	24min 2Th	24min
39.79648239	24min 2Th	24min
3.780718166	24min 2Th	24min
2.313320181	24min 2Th	24min
6.213534548	24min 2Th	24min
45.85878631	24min 2Th	24min
13.95783271	24min 2Th	24min
7.029685043	24min 2Th	24min
8.080663088	24min 2Th	24min
73.86779927	24min 2Th	24min
28.09746882	24min 2Th	24min
35.35972987	24min 2Th	24min
11.36564771	24min 2Th	24min
13.16439948	24min 2Th	24min
1.868389321	24min 2Th	24min
13.67834929	24min 2Th	24min
2.256148192	24min 2Th	24min
6.841924154	24min 2Th	24min
12.52910351	24min 2Th	24min
2.699726923	24min 2Th	24min
8.462519018	24min 2Th	24min
14.29589447	24min 2Th	24min
45.81619462	24min 2Th	24min
11.09880997	24min 2Th	24min
12.34985619	24min 2Th	24min
27.27357516	24min 2Th	24min
4.467986132	24min 2Th	24min
20.46056573	24min 2Th	24min
41.52529937	24min 2Th	24min
16.93518421	24min 2Th	24min
2.831909951	24min 2Th	24min
32.82026356	24min 2Th	24min
7.968255532	24min 2Th	24min
1.773269766	24min 2Th	24min
22.8706526	24min 2Th	24min
6.128043648	24min 2Th	24min
3.988675183	24min 2Th	24min
