proteins	Protein_abundance_rank	Coefficient_of_variation	CVs
P02747	1	6.912145053	<=20% : 885
A0A8Q3SI33	2	4.935502056	<=20% : 885
P01042	3	55.88002994	>41% : 156
P04004	4	6.385857442	<=20% : 885
P00748	5	6.295088296	<=20% : 885
P02671	6	23.52674316	21-40% : 204
P05155-3	7	4.44737171	<=20% : 885
CONP00761	8	13.37939111	<=20% : 885
P02679-2	9	23.336025	21-40% : 204
CONP15636	10	18.56573254	<=20% : 885
P04196	11	7.73035077	<=20% : 885
P00734	12	1.151031844	<=20% : 885
P02675	13	27.51158509	21-40% : 204
P09871	14	6.162463123	<=20% : 885
P02656	15	11.73229783	<=20% : 885
P02649	16	1.918063507	<=20% : 885
P02647	17	7.413700405	<=20% : 885
P07225	18	8.341828301	<=20% : 885
P02745	19	17.5309786	<=20% : 885
Q14520-2	20	4.150416803	<=20% : 885
V9GYM3	21	13.18920014	<=20% : 885
P0C0L5	22	8.245697394	<=20% : 885
P03952	23	58.62714252	>41% : 156
A0A8I5KW61	24	38.07329919	21-40% : 204
P01024	25	43.20407059	>41% : 156
P27169	26	8.755948536	<=20% : 885
P02741	27	8.023270927	<=20% : 885
P00740	28	6.390288584	<=20% : 885
P02749	29	58.51922836	>41% : 156
P00747	30	8.471371751	<=20% : 885
P10909-6	31	8.56006371	<=20% : 885
Q03591	32	5.775651556	<=20% : 885
P17936	33	2.787524217	<=20% : 885
P05452	34	5.024317461	<=20% : 885
A0A8Q3SIA1	35	3.042533658	<=20% : 885
Q9BXR6	36	58.66129604	>41% : 156
B9A064	37	47.99677729	>41% : 156
P04003	38	12.10832115	<=20% : 885
P00450	39	17.6216477	<=20% : 885
Q92954-3	40	6.899956308	<=20% : 885
Q13103	41	25.58307094	21-40% : 204
A0A0C4DGB6	42	4.630071264	<=20% : 885
K7ER74	43	21.86950037	21-40% : 204
P49747	44	6.707334694	<=20% : 885
P12259	45	1.971010463	<=20% : 885
P03951	46	8.327309549	<=20% : 885
P22891-2	47	4.243278722	<=20% : 885
P07996	48	3.639470247	<=20% : 885
O00391	49	3.380109452	<=20% : 885
Q9BWP8-10	50	7.272520655	<=20% : 885
Q15113	51	7.292467869	<=20% : 885
P00742	52	6.992563758	<=20% : 885
P02751-10	53	65.07462824	>41% : 156
Q96IY4	54	55.03008769	>41% : 156
P61626	55	57.68826221	>41% : 156
P15169	56	5.249809056	<=20% : 885
P19823	57	7.288955285	<=20% : 885
P04070-2	58	6.501544526	<=20% : 885
A0A8Q3WL37	59	20.49468346	<=20% : 885
P36955	60	7.848023183	<=20% : 885
P49908	61	5.099489869	<=20% : 885
