IDs,ECFCs_Crit_C1,ECFCs_Crit_C2,ECFCs_Crit_C3,ECFCs_Crit_C4,ECFCs_Crit_C5,ECFCs_Crit_C6,ECFCs_Crit_C7,ECFCs_Crit_C8,ECFCs_PCR+_066,ECFCs_PCR+_081,ECFCs_PCR+_090,ECFCs_PCR+_111,ECFCs_PCR+_163,ECFCs_PCR+_169,ECFCs_PCR+_195,ECFCs_PCR+_299,ECFCs_Neg_001,ECFCs_Neg_013,ECFCs_Neg_0012,ECFCs_Neg_004,ECFCs_Neg_005,ECFCs_Neg_006,ECFCs_Neg_007,ECFCs_Neg_008
A7E2V4,24.3829,14.8579,39.0519,28.7468,13.926,25.5665,43.3289,17.6804,18.8075,34.6883,31.5708,40.528,39.1417,28.6058,14.0572,22.3306,3.41176,,,8.55604,,4.44996,,7.07683
O00154,203.59,139.501,197.501,195.198,152.493,178.86,186.769,206.948,149.539,174.68,157.481,156.667,148.1,144.878,163.124,144.948,108.416,99.5215,111.324,115.155,102.809,94.8093,85.1425,103.825
O00178,90.4931,49.8845,38.4269,37.775,36.4642,43.0795,43.1426,38.5654,47.8398,51.8678,42.0255,35.6115,38.3447,30.6908,41.8738,28.6458,28.9381,24.7256,24.4936,24.1348,31.2217,22.5407,30.6152,17.8626
O00268,39.889,14.1767,36.0253,25.0305,27.8178,25.1466,31.5428,13.6685,26.0478,41.7767,25.168,23.0453,29.4664,17.8876,5.386,17.0379,3.50132,5.38941,,10.5815,,7.38767,,5.12848
O00487,130.654,116.192,102.654,111.026,118.662,84.1702,113.031,130.539,124.61,127,110.214,102.972,115.307,102.027,122.138,114.11,98.8434,103.293,89.405,104.448,81.2205,103.434,98.5671,96.7017
O15260,68.6129,101.547,62.8815,66.7538,44.0467,62.567,46.4619,47.569,74.2868,95.4037,45.8717,46.5817,48.0148,64.1316,54.1309,33.8231,24.0568,45.4717,12.5554,28.0159,32.1422,15.3973,16.2637,6.7988
O15372,165.067,172.474,188.7,172.968,175.501,181.925,172.211,189.736,119.514,137.572,124.329,128.251,123.99,127.095,121.105,123.535,118.264,106.147,97.0327,120.413,104.721,105.944,111.917,88.2101
O15484,179.142,227.376,79.8487,70.1856,181.532,,50.4828,91.5099,161.404,78.452,50.5683,80.2221,98.8358,69.0183,150.121,118.138,209.231,405.604,289.73,179.143,296.394,297.461,245.07,195.015
O60499,18.4862,17.7029,24.5353,44.3933,,26.3911,24.8563,43.4056,43.2216,42.3605,40.0987,31.4475,31.2333,41.6497,37.672,30.6993,63.1532,199.215,180.392,57.3873,153.88,95.006,104.958,74.9951
O60739,44.4311,36.2508,55.6641,39.9984,44.9775,47.9723,55.3359,79.177,28,39.6351,39.7114,34.6007,37.3411,38.7344,35.591,31.257,25.5193,18.8015,15.156,20.683,13.6606,20.9447,18.8439,13.2738
