genes	log2FoldChange	pvalue
A2M	-0.113088131	0.642915854
AAAS	0.734339714	0.003812337
AACS	0.051356554	0.775180392
AAGAB	-1.279880027	0.220710384
AAK1	-0.051434934	0.440624516
AAMDC	0.104377091	0.66955815
AAMP	0.150280237	0.539620252
AAR2	0.145025909	0.055971711
AARS1	0.148020744	0.010223513
AARS2	0.118822277	0.42560325
AARSD1	-0.02464962	0.69716355
AASDHPPT	0.542067945	0.00291759
AASS	0.25684607	0.100346445
AATF	-0.745443957	0.074030312
ABAT	0.255524069	0.430170311
ABCA3	1.37087059	1
ABCB1	0.580113918	0.206606872
ABCB6	-0.06184274	0.4837567
ABCC1	0.192203581	0.157446134
ABCC4	0.024033785	0.933229476
ABCD1	0.040736735	0.503522817
ABCD3	0.0785923	0.544261486
ABCE1	0.122832775	0.064355556
ABCF1	0.2450611	0.357954073
ABCF2	0.043420076	0.768096865
ABCF3	0.042784333	0.663190102
ABCG2	0.364024609	0.404720865
ABHD10	0.174028814	0.10727973
ABHD11	0.291885972	0.320092705
ABHD12	0.07719034	0.617157248
ABHD14B	0.508901298	0.001848705
ABHD16A	0.030465245	0.798070427
ABHD5	0.672176719	0.070746153
ABI1	0.114021897	0.378695843
ABI2	0.034753799	0.740786946
ABI3	-0.107400835	0.618265494
ABLIM1	0.005637705	0.972408094
ABLIM3	0.008427203	0.924719119
ABR	0.014516115	0.888467857
ABRACL	0.070919931	0.652420761
ABRAXAS2	0.06005162	0.806948541
ACAA1	-0.219737411	0.046944098
ACAA2	0.042793214	0.336049075
ACACA	0.049265802	0.343681935
ACAD10	-0.272040308	0.494845376
ACAD8	-0.032613516	0.872308432
ACAD9	0.046776116	0.781483886
ACADM	-0.061073661	0.561108877
ACADS	-0.172495008	0.148666987
ACADSB	-0.005567372	0.976353941
ACADVL	-0.007302642	0.968983461
ACAP2	0.038236141	0.599331642
ACAT1	-0.037254572	0.425990311
ACAT2	-0.185401559	0.661044431
ACBD3	-0.016055584	0.90945317
ACBD6	0.077300608	0.315629425
ACE	0.051597178	0.913538582
ACIN1	0.107016861	0.043930816
ACLY	0.033433318	0.490444454
ACO1	0.012737691	0.896618533
ACO2	-0.053765714	0.547193663
ACOT1	0.102602184	0.63385298
ACOT13	0.863803591	0.000896349
ACOT7	0.712511241	3.79E-07
ACOT8	0.226397812	0.506015359
ACOT9	0.096545339	0.246100049
ACOX1	-0.027152538	0.911557281
ACOX3	0.062811434	0.859802068
ACP1	0.589897931	0.024647229
ACP2	-0.186766219	0.847885307
ACSF2	0.108160138	0.57333193
ACSF3	-0.581536472	0.047120963
ACSL1	-0.664174557	0.004679522
ACSL3	0.149129033	0.117222416
ACSL4	0.124325931	0.097912141
ACSL5	-0.037464678	0.893432712
ACSS1	0.290394098	0.383913835
ACSS2	0.001506269	0.99503423
ACTA1	-0.234649479	0.37962595
ACTB	-0.287929416	0.288873347
ACTBL2	-0.107327938	0.32253179
ACTC1	0.20278132	0.133279576
ACTG1	-0.146703482	0.073879072
ACTL6A	0.196619928	0.131350271
ACTN1	0.082505286	0.294783378
ACTN4	0.098589718	0.516816395
ACTR10	-0.052873909	0.748676923
ACTR1A	-0.005674303	0.90558965
ACTR1B	-0.124968231	0.402271512
ACTR2	0.082087278	0.520204676
ACTR3	0.051390469	0.732888123
ACVRL1	0.120561838	0.51288727
ACY1	-0.251346111	0.176009194
ACYP1	2.031586647	3.35E-05
ADA	-0.022433341	0.727253291
ADAM10	0.859742761	0.032623395
ADAM15	0.117203236	0.283145026
ADAM17	-0.06037271	0.632437273
ADAM9	0.017031252	0.89718037
ADAR	0.190943301	0.000222291
ADD1	-0.056112409	0.831959824
ADD3	-0.141314268	0.572659522
ADGRF5	-0.103892505	0.677963996
ADGRG6	0.00103122	0.997678058
ADGRL2	0.003493309	0.973744566
ADGRL4	0.155478418	0.523762472
ADH5	0.218249023	0.030609629
ADI1	-0.001998305	0.985681656
ADIRF	0.039129496	0.896668872
ADK	0.102572203	0.258258774
ADNP	-0.0311625	0.828408024
ADO	0.067051232	0.722324179
ADPGK	0.24127233	0.250787249
ADPRH	-0.120564163	0.65082784
ADPRS	-0.028921127	0.868905263
ADRM1	-0.067104638	0.282701388
ADSL	0.404312313	0.000913493
ADSS2	-0.047756195	0.459869772
AFAP1	0.393492699	0.262198406
AFAP1L1	0.025323391	0.938715583
AFDN	-0.11306566	0.264794983
AFF4	-0.050242731	0.806457709
AFG3L2	-0.14373374	0.217928305
